what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1473069244167
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1473069244168
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1473069244168
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1473069244169
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1473069244169
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1473069244170
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1473069244171
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1473069244172
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1473069244173
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1473069244174
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1473069244175
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1473069244175
started,bundle,com.altera.sbtgui.integration,13.0.0.156,"com.altera.sbtgui.integration",1473069244176
started,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1473069244176
started,bundle,com.altera.systemconsole,13.0.0.156,"com.altera.systemconsole",1473069244177
started,bundle,com.altera.systemconsole.designs.plugin,13.0.0.156,"com.altera.systemconsole.designs.plugin",1473069244177
started,bundle,com.altera.utilities,13.0.0.156,"com.altera.utilities",1473069244178
os,sysinfo,,,"win32",1473069244180
arch,sysinfo,,,"x86",1473069244180
ws,sysinfo,,,"win32",1473069244180
locale,sysinfo,,,"zh_CN",1473069244180
processors,sysinfo,,,"4",1473069244180
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1473069244180
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1473069244180
java.specification.name,sysinfo,,,"Java Platform API Specification",1473069244180
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1473069244180
java.specification.version,sysinfo,,,"1.6",1473069244180
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1473069244180
java.version,sysinfo,,,"1.6.0_23",1473069244180
java.vm.info,sysinfo,,,"mixed mode",1473069244180
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1473069244180
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1473069244180
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1473069244180
java.vm.specification.version,sysinfo,,,"1.0",1473069244180
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1473069244180
java.vm.version,sysinfo,,,"19.0-b09",1473069244180
started,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1473069244349
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1473069245521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473069246590
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1473069248052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473069248111
